Station ID,Station Name,Longitude,Latitude,Elevation,Link
ENG,ENGLEBRIGHT (USACE),-121.267,39.239,551,/dynamicapp/staMeta?station_id=ENG
ERK,EUREKA WOODLEY ISLAND,-124.167,40.8,20,/dynamicapp/staMeta?station_id=ERK
ERY,ELLERY LAKE,-119.232201,37.934967,9645,/dynamicapp/staMeta?station_id=ERY
EXC,NEW EXCHEQUER-LK MCCLURE,-120.27,37.585,879,/dynamicapp/staMeta?station_id=EXC
FBW,FORT BIDWELL,-120.133,41.85,4500,/dynamicapp/staMeta?station_id=FBW
FDD,FIDDLETOWN,-120.7,38.533,2160,/dynamicapp/staMeta?station_id=FDD
FJN,FORT JONES RS,-122.85,41.6,2725,/dynamicapp/staMeta?station_id=FJN
FLD,FOLSOM DAM - FOLSOM POINT (DYKE 8),-121.129723,38.693054,350,/dynamicapp/staMeta?station_id=FLD
FLR,FLORENCE LAKE (SCE),-118.967,37.267,7325,/dynamicapp/staMeta?station_id=FLR
FMT,FAIRMONT RESERVOIR,-118.433462,34.711777,3060,/dynamicapp/staMeta?station_id=FMT
FRF,FAIRFIELD,-122.067,38.267,40,/dynamicapp/staMeta?station_id=FRF
FRH,FORESTHILL R S,-120.85,39.017,3015,/dynamicapp/staMeta?station_id=FRH
FRO,FRESNO WB AIRPORT,-119.717,36.767,328,/dynamicapp/staMeta?station_id=FRO
FRR,FORT ROSS,-123.25,38.517,112,/dynamicapp/staMeta?station_id=FRR
GAS,GASQUET RANGER STATION,-123.965103,41.845161,384,/dynamicapp/staMeta?station_id=GAS
GHS,GROVER HOT SPRINGS,-119.817,38.694,5820,/dynamicapp/staMeta?station_id=GHS
GLK,GEM  LAKE,-119.14,37.752,9054,/dynamicapp/staMeta?station_id=GLK
GLV,GLENVILLE FS,-118.7,35.717,3140,/dynamicapp/staMeta?station_id=GLV
GNF,GIANT FOREST (USACE),-118.770283,36.562867,6400,/dynamicapp/staMeta?station_id=GNF
GRG,GEORGETOWN RS (USFS),-120.8,38.933,3001,/dynamicapp/staMeta?station_id=GRG
GRO,GRANT GROVE,-118.967,36.733,6600,/dynamicapp/staMeta?station_id=GRO
GSV,GRASS VALLEY,-121.067,39.217,2400,/dynamicapp/staMeta?station_id=GSV
GVL,GROVELAND R S,-120.1,37.817,3145,/dynamicapp/staMeta?station_id=GVL
HAP,HAPPY CAMP RS,-123.367,41.8,1120,/dynamicapp/staMeta?station_id=HAP
HCK,HOCKETT MEADOW (USACE),-118.651,36.371,8500,/dynamicapp/staMeta?station_id=HCK
HEA,RUSSIAN RIVER NEAR HEALDSBURG,-122.83638,38.613243,108,/dynamicapp/staMeta?station_id=HEA
HLS,HOLLISTER,-121.424,36.844,275,/dynamicapp/staMeta?station_id=HLS
HML,MOUNT HAMILTON,-121.65,37.333,4206,/dynamicapp/staMeta?station_id=HML
HND,HANFORD REFINERY,-119.667,36.333,242,/dynamicapp/staMeta?station_id=HND
HOO,HOOPA,-123.667,41.05,333,/dynamicapp/staMeta?station_id=HOO
HSS,HOSSACK,-118.619,36.181,7100,/dynamicapp/staMeta?station_id=HSS
HTH,HETCH HETCHY,-119.783,37.95,3870,/dynamicapp/staMeta?station_id=HTH
HWE,HAIWEE,-117.948,36.137,3774,/dynamicapp/staMeta?station_id=HWE
IMP,IMPERIAL VALLEY,-115.57,32.85,-64,/dynamicapp/staMeta?station_id=IMP
IPN,INDEPENDENCE,-118.204,36.798,3950,/dynamicapp/staMeta?station_id=IPN
ISB,ISABELLA DAM,-118.473,35.646,2635,/dynamicapp/staMeta?station_id=ISB
JNL,JUNCAL DAM,-119.5,34.483,2075,/dynamicapp/staMeta?station_id=JNL
KP3,KERN PH 3,-118.436058,35.775902,2703,/dynamicapp/staMeta?station_id=KP3
KR3,KERN R INTAKE NO. 3,-118.48,35.95,3650,/dynamicapp/staMeta?station_id=KR3
LAN,LOS ANGELES-WSO AIRPORT,-118.4,33.933,100,/dynamicapp/staMeta?station_id=LAN
LBS,LOS BANOS DAM,-120.93,36.994,350,/dynamicapp/staMeta?station_id=LBS
LCC,LOS ANGELES CIVIC CENTER,-118.233,34.05,270,/dynamicapp/staMeta?station_id=LCC
LDG,LODGEPOLE,-118.733,36.6,6735,/dynamicapp/staMeta?station_id=LDG
LFH,LEWISTON FISH HATCHERY,-122.793,40.727,1870,/dynamicapp/staMeta?station_id=LFH
LGB,LAGUNA BEACH,-117.78,33.547,35,/dynamicapp/staMeta?station_id=LGB
LGT,LAGUNITAS LAKE,-122.597,37.947,799,/dynamicapp/staMeta?station_id=LGT
LMC,LEMON COVE,-119.033,36.383,513,/dynamicapp/staMeta?station_id=LMC
LND,LINDSAY,-119.05,36.2,420,/dynamicapp/staMeta?station_id=LND
LPA,LAKE PALMDALE,-118.1014,34.5372,2980,/dynamicapp/staMeta?station_id=LPA
MCN,MOCCASIN,-120.299006,37.810184,938,/dynamicapp/staMeta?station_id=MCN
MDE,MODESTO IRRIG DISTRICT OFFICE,-121.001,37.65,91,/dynamicapp/staMeta?station_id=MDE
MDR,MADERA,-120.033,36.95,270,/dynamicapp/staMeta?station_id=MDR
MFS,MERCED,-120.517,37.283,153,/dynamicapp/staMeta?station_id=MFS
MKV,MARKLEEVILLE,-119.783,38.7,5530,/dynamicapp/staMeta?station_id=MKV
MLD,MCCLOUD,-122.133,41.25,3280,/dynamicapp/staMeta?station_id=MLD
MNH,MOUNTAIN HOME,-118.71,36.242,5400,/dynamicapp/staMeta?station_id=MNH
MNR,MINERAL (OBSERVER),-121.6,40.35,4875,/dynamicapp/staMeta?station_id=MNR
MRP,MARIPOSA RANGER STATION,-119.986946,37.504166,2250,/dynamicapp/staMeta?station_id=MRP
MSC,MOUNT SHASTA CITY,-122.317,41.317,3590,/dynamicapp/staMeta?station_id=MSC
MTY,MONTEREY AIRPORT,-121.847504,36.590557,217,/dynamicapp/staMeta?station_id=MTY
NDL,NEEDLES,-114.6,34.833,480,/dynamicapp/staMeta?station_id=NDL
NFR,NORTH FORK R S,-119.5,37.233,2630,/dynamicapp/staMeta?station_id=NFR
NIC,FEATHER RIVER NEAR NICOLAUS,-121.604759,38.889835,43,/dynamicapp/staMeta?station_id=NIC
NLD,NILAND,-115.517,33.283,-60,/dynamicapp/staMeta?station_id=NLD
NMQ,NEW MELONES DAM HQ,-120.49,38.0,960,/dynamicapp/staMeta?station_id=NMQ
NSH,NAPA FIRE DEPARTMENT,-122.267,38.283,35,/dynamicapp/staMeta?station_id=NSH
NVD,NEVADA CITY,-121.001,39.25,2781,/dynamicapp/staMeta?station_id=NVD
OLS,KLAMATH RIVER AT ORLEANS,-123.5345,41.303459,430,/dynamicapp/staMeta?station_id=OLS
ORL,ORLAND,-122.2,39.75,254,/dynamicapp/staMeta?station_id=ORL
OSM,OCEANSIDE MARINA,-117.4,33.217,10,/dynamicapp/staMeta?station_id=OSM
OXN,OXNARD,-119.183,34.2,49,/dynamicapp/staMeta?station_id=OXN
PCF,PACIFIC HOUSE (OBSERVER),-120.5,38.765,3400,/dynamicapp/staMeta?station_id=PCF
PCV,PLACERVILLE,-120.82,38.7,1850,/dynamicapp/staMeta?station_id=PCV
PLE,PLUMAS EUREKA PARK,-120.69593,39.75778,5165,/dynamicapp/staMeta?station_id=PLE
PMS,PALM SPRINGS,-116.5,33.833,425,/dynamicapp/staMeta?station_id=PMS
PNF,PINE FLAT DAM,-119.325,36.833,970,/dynamicapp/staMeta?station_id=PNF
PNH,PANOCHE 2W,-120.867,36.6,1320,/dynamicapp/staMeta?station_id=PNH
PRT,PORTOLA,-120.467,39.8,4850,/dynamicapp/staMeta?station_id=PRT
PSC,PASCOES,-118.357617,35.961533,9120,/dynamicapp/staMeta?station_id=PSC
QNC,QUINCY RS (USFS),-120.95,39.96,3420,/dynamicapp/staMeta?station_id=QNC
RBF,RED BLUFF,-122.254,40.152,353,/dynamicapp/staMeta?station_id=RBF
RGC,ROGERS CAMP,-118.637,36.108,6200,/dynamicapp/staMeta?station_id=RGC
SAP,SALINAS NO2,-121.667,36.667,45,/dynamicapp/staMeta?station_id=SAP
SBN,LAKE SABRINA,-118.617,37.217,9065,/dynamicapp/staMeta?station_id=SBN
