Acres_Burned,Cal_Fire_Incident,Latitude,Longitude,Unique_ID,Month,Year
170.0,True,34.611824,-120.074655,cb5f34a0-177e-445d-9349-dd94063a01d0,5,2013
163.0,True,38.67479,-122.08725,0aa08938-eaab-4a60-8891-946197328f94,11,2013
163.0,True,38.63987,-121.08438,4630e9ce-88ec-4159-9bc9-25ff5f8216cc,7,2013
163.0,True,38.63987,-121.08438,4630e9ce-88ec-4159-9bc9-25ff5f8216cc,7,2013
159.0,True,38.34599,-122.6503,1460f2d9-853b-4901-bed3-ac196e00bb3a,10,2013
158.0,True,38.17693,-122.51253,c9b5d1ff-c042-4b39-8bac-b10fb6fc6c13,7,2013
150.0,True,0.0,0.0,6a48000a-6198-46dd-9a91-0b0159183145,10,2013
150.0,True,33.990128,-117.164997,d48a839f-d8da-44d7-9b35-b9f61aa28c61,7,2013
150.0,True,37.436,-121.1955,873074c8-4b6d-417b-a78c-1d1430027805,7,2013
150.0,True,36.7218,-119.2248,23ec2f69-da30-4983-80c2-1f04bfea6f9a,6,2013
150.0,True,0.0,0.0,28ffc826-6789-429c-9801-f3a02dbb320a,5,2013
149.0,True,34.419284,-118.58688,794412f2-1ba2-4217-ac38-49272a96fb6f,5,2013
134.0,False,36.258,-118.459,d332a628-6290-4e91-b8d0-4dc663b80c38,9,2013
125.0,True,38.638828,-122.655616,64e4f81e-d872-44c4-ba8d-111fa77124ba,5,2013
124.0,True,38.08744,-122.13802,2b403f03-fe84-450a-90b7-befb8acc7e70,6,2013
124.0,True,37.03776,-121.006939,f9e85371-fc46-4f54-822c-7dcdaadde551,6,2013
124.0,True,33.963591,-117.187934,9795afee-7e60-4ab3-b5c3-7df67f91c5f9,5,2013
120.0,True,38.882214,-122.567525,20ba8b6b-78d4-46a7-995b-d8fa38cbf3b8,11,2013
116.0,True,38.682378,-120.839075,db009f8f-8b9d-44bb-a3f6-83f319c84d72,8,2013
110.0,False,34.287,-117.451,c7f05927-66a4-403c-9048-aeb42eca0211,8,2013
108.0,True,36.772425,-119.628389,a2cfda2a-21c1-4e45-90b5-37d931b4a926,6,2013
105.0,True,36.1531,-120.8973,58317b8d-7f4d-466f-b2c7-035c25fb00f0,6,2013
